Id	CoilGroupingHistoryId	Name	GroupName	
=1005	=78	=E5	=A	
=1006	=78	=E6	=A	
=1007	=78	=E7	=A	
=1008	=78	=E8	=A	
=1009	=78	=F1	=9	
=1010	=78	=F2	=9	
=1011	=78	=F3	=9	
=1012	=78	=F4	=9	
=1013	=78	=F5	=9	
=1014	=78	=F6	=9	
=1015	=78	=F7	=9	
=1016	=78	=F8	=9	
=1017	=78	=F9	=9	
=1018	=79	=F1	=9	
=1019	=79	=F2	=9	
=1020	=79	=F3	=9	
=1021	=79	=F4	=9	
=1022	=79	=F5	=9	
=1023	=79	=F6	=9	
=1024	=79	=F7	=9	
=1025	=79	=F8	=9	
=1026	=79	=F9	=9	
=1027	=80	=B1	=A	
=1028	=80	=B2	=A	
=1029	=80	=B4	=B	
=1030	=80	=B5	=B	
=1031	=80	=B8	=C	
=1032	=80	=B9	=C	
=1033	=80	=C6	=D	
=1034	=80	=C7	=D	
=1035	=80	=C8	=E	
=1036	=80	=C9	=E	
=1037	=80	=E2	=F	
=1038	=80	=E3	=F	
=1039	=80	=E4	=F	
=1040	=80	=E5	=F	
=1041	=80	=F1	=9	
=1042	=80	=F2	=9	
=1043	=80	=F3	=9	
=1044	=80	=F4	=9	
=1045	=80	=F5	=9	
=1046	=80	=F6	=9	
=1047	=80	=F7	=9	
=1048	=80	=F8	=9	
=1049	=80	=F9	=9	
=1050	=81	=C4	=B	
=1051	=81	=C5	=B	
=1052	=81	=D3	=C	
=1053	=81	=D4	=C	
=1054	=81	=E5	=A	
=1055	=81	=E6	=A	
=1056	=81	=E7	=A	
=1057	=81	=E8	=A	
=1058	=81	=F1	=9	
=1059	=81	=F2	=9	
=1060	=81	=F3	=9	
=1061	=81	=F4	=9	
=1062	=81	=F5	=9	
=1063	=81	=F6	=9	
=1064	=81	=F7	=9	
=1065	=81	=F8	=9	
=1066	=81	=F9	=9	
=1067	=82	=B1	=A	
=1068	=82	=B2	=A	
=1069	=82	=B4	=B	
=1070	=82	=B5	=B	
=1071	=82	=B8	=C	
=1072	=82	=B9	=C	
=1073	=82	=C2	=G	
=1074	=82	=C3	=G	
=1075	=82	=C6	=D	
=1076	=82	=C7	=D	
=1077	=82	=C8	=E	
=1078	=82	=C9	=E	
=1079	=82	=E2	=F	
=1080	=82	=E3	=F	
=1081	=82	=E4	=F	
=1082	=82	=E5	=F	
=1083	=82	=F1	=9	
=1084	=82	=F2	=9	
=1085	=82	=F3	=9	
=1086	=82	=F4	=9	
=1087	=82	=F5	=9	
=1088	=82	=F6	=9	
=1089	=82	=F7	=9	
=1090	=82	=F8	=9	
=1091	=82	=F9	=9	
=1092	=83	=B5	=A	
=1093	=83	=B6	=A	
=1094	=83	=B7	=A	
=1095	=83	=B8	=A	
=1096	=83	=B9	=A	
=1097	=83	=C2	=B	
=1098	=83	=C3	=B	
=1099	=83	=C5	=C	
=1100	=83	=C6	=C	
=1101	=83	=D1	=G	
=1102	=83	=D2	=G	
=1103	=83	=D4	=F	
=1104	=83	=D5	=F	
=1105	=84	=B5	=A	
=1106	=84	=B6	=A	
=1107	=84	=B7	=A	
=1108	=84	=B8	=A	
=1109	=84	=B9	=A	
=1110	=84	=C2	=B	
=1111	=84	=C3	=B	
=1112	=84	=C5	=C	
=1113	=84	=C6	=C	
=1114	=84	=D1	=G	
=1115	=84	=D2	=G	
=1116	=84	=D4	=F	
=1117	=84	=D5	=F	
=1118	=84	=D6	=D	
=1119	=84	=D7	=D	
=1120	=84	=D8	=E	
=1121	=84	=D9	=E	
=1122	=85	=E1	=A	
=1123	=85	=E2	=A	
=1124	=85	=E3	=A	
=1125	=85	=E4	=A	
=1126	=86	=D5	=C	
=1127	=86	=D6	=C	
=1128	=86	=D7	=B	
=1129	=86	=D8	=B	
=1130	=86	=E1	=A	
=1131	=86	=E2	=A	
=1132	=86	=E3	=A	
=1133	=86	=E4	=A	
=1134	=87	=E1	=A	
=1135	=87	=E2	=A	
=1136	=87	=E3	=A	
=1137	=87	=E4	=A	
=1138	=88	=D5	=E	
=1139	=88	=D6	=E	
=1140	=88	=D7	=D	
=1141	=88	=D8	=D	
=1142	=88	=E1	=A	
=1143	=88	=E2	=A	
=1144	=88	=E3	=A	
=1145	=88	=E4	=A	
=1146	=89	=E5	=F	
=1147	=89	=E6	=F	
=1148	=89	=E7	=F	
=1149	=89	=E8	=F	
=1150	=89	=E9	=F	
=1151	=89	=F1	=9	
=1152	=89	=F2	=9	
=1153	=89	=F3	=9	
=1154	=89	=F4	=9	
=1155	=89	=F5	=9	
=1156	=89	=F6	=9	
=1157	=89	=F7	=9	
=1158	=89	=F8	=9	
=1159	=89	=F9	=9	
=1160	=90	=C3	=B	
=1161	=90	=C4	=B	
=1162	=90	=C6	=D	
=1163	=90	=C7	=D	
=1164	=90	=D3	=C	
=1165	=90	=D4	=C	
=1166	=90	=E5	=A	
=1167	=90	=E6	=A	
=1168	=90	=E7	=A	
=1169	=90	=E8	=A	
=1170	=90	=E9	=A	
=1171	=90	=F1	=9	
=1172	=90	=F2	=9	
=1173	=90	=F3	=9	
=1174	=90	=F4	=9	
=1175	=90	=F5	=9	
=1176	=90	=F6	=9	
=1177	=90	=F7	=9	
=1178	=90	=F8	=9	
=1179	=90	=F9	=9	
=1180	=91	=B8	=A	
=1181	=91	=B9	=A	
=1182	=91	=E5	=F	
=1183	=91	=E6	=F	
=1184	=91	=E7	=F	
=1185	=91	=E8	=F	
=1186	=91	=E9	=F	
=1187	=91	=F1	=9	
=1188	=91	=F2	=9	
=1189	=91	=F3	=9	
=1190	=91	=F4	=9	
=1191	=91	=F5	=9	
=1192	=91	=F6	=9	
=1193	=91	=F7	=9	
=1194	=91	=F8	=9	
=1195	=91	=F9	=9	
=1196	=92	=B2	=B	
=1197	=92	=B3	=B	
=1198	=92	=B8	=A	
=1199	=92	=B9	=A	
=1200	=92	=E5	=F	
=1201	=92	=E6	=F	
=1202	=92	=E7	=F	
=1203	=92	=E8	=F	
=1204	=92	=E9	=F	
=1205	=92	=F1	=9	
=1206	=92	=F2	=9	
=1207	=92	=F3	=9	
=1208	=92	=F4	=9	
=1209	=92	=F5	=9	
=1210	=92	=F6	=9	
=1211	=92	=F7	=9	
=1212	=92	=F8	=9	
=1213	=92	=F9	=9	
=1214	=93	=B2	=B	
=1215	=93	=B3	=B	
=1216	=93	=B4	=D	
=1217	=93	=B5	=D	
=1218	=93	=B8	=A	
=1219	=93	=B9	=A	
=1220	=93	=D3	=C	
=1221	=93	=D4	=C	
=1222	=93	=E5	=F	
=1223	=93	=E6	=F	
=1224	=93	=E7	=F	
=1225	=93	=E8	=F	
=1226	=93	=E9	=F	
=1227	=93	=F1	=9	
=1228	=93	=F2	=9	
=1229	=93	=F3	=9	
=1230	=93	=F4	=9	
=1231	=93	=F5	=9	
=1232	=93	=F6	=9	
=1233	=93	=F7	=9	
=1234	=93	=F8	=9	
=1235	=93	=F9	=9	
=1236	=94	=B2	=B	
=1237	=94	=B3	=B	
=1238	=94	=B4	=D	
=1239	=94	=B5	=D	
=1240	=94	=B8	=A	
=1241	=94	=B9	=A	
=1242	=94	=D3	=E	
=1243	=94	=D4	=E	
=1244	=94	=E5	=F	
=1245	=94	=E6	=F	
=1246	=94	=E7	=F	
=1247	=94	=E8	=F	
=1248	=94	=E9	=F	
=1249	=94	=F1	=9	
=1250	=94	=F2	=9	
=1251	=94	=F3	=9	
=1252	=94	=F4	=9	
=1253	=94	=F5	=9	
=1254	=94	=F6	=9	
=1255	=94	=F7	=9	
=1256	=94	=F8	=9	
=1257	=94	=F9	=9	
=1258	=96	=1	=A	
=1259	=96	=2	=A	
=1260	=96	=3	=B	
=1261	=96	=4	=B	
=1262	=97	=C4	=H	
=1263	=97	=C5	=H	
=1264	=97	=D1	=F	
=1265	=97	=D2	=F	
=1266	=97	=D3	=G	
=1267	=97	=D4	=G	
=1268	=97	=D5	=E	
=1269	=97	=D6	=E	
=1270	=97	=D7	=D	
=1271	=97	=D8	=D	
=1272	=97	=E1	=A	
=1273	=97	=E2	=A	
=1274	=97	=E3	=A	
=1275	=97	=E4	=A	
=1276	=98	=C4	=H	
=1277	=98	=C5	=H	
=1278	=98	=D1	=F	
=1279	=98	=D2	=F	
=1280	=98	=D3	=G	
=1281	=98	=D4	=G	
=1282	=98	=D5	=E	
=1283	=98	=D6	=E	
=1284	=98	=D7	=D	
=1285	=98	=D8	=D	
=1286	=98	=E1	=A	
=1287	=98	=E2	=A	
=1288	=98	=E3	=A	
=1289	=98	=E4	=A	
=1290	=98	=E5	=A	
=1291	=99	=6	=A	
=1292	=99	=7	=A	
=1293	=100	=A0	=A	
=1294	=100	=A2	=A	
=1295	=101	=1	=B	
=1296	=101	=2	=B	
