Id	MachineId	LastRestockCashSalesAmountInCents	LastRestockCashInAmountInCents	LastRestockCashSalesQuantity	LastRestockBillsInAmount	LastRestockCoinsToTubesAmountInCents	LastRestockCoinsToBoxAmountInCents	CashSalesAmountInCents	CashInAmountInCents	CashSalesQuantity	BillsInAmount	CoinsToBoxAmountInCents	CoinsToTubeAmountInCents	CollectionDateTime	LastCollectionDateTime	CreatedByBackRestock	CollectedBillsAmount	CollectedCoinsAmountInCents	RefundAmountInCents	LastRestockCardSalesQuantity	LastRestockCardSalesAmountInCents	LastRestockTokenSalesQuantity	LastRestockTokenSalesAmountInCents	LastRestockCashDispensedAmountInCents	CardSalesQuantity	CardSalesAmountInCents	TokenSalesQuantity	TokenSalesAmountInCents	CashDispensedAmountInCents	CoinRefillAmountInCents	LastRestockTestVendAmountInCents	CoinsInTubeAmountInCents	FreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesQuantity	LastRestockFreeSalesAmountInCents	BagNumber	CollectedTokensCount	CollectedTokensAmountInCents	CreatedDateTime	CreatedBy	Deleted	PrepickId	LastRestockAllSalesAmountInCents	AllSalesAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	PreviousRestockUtcDateTime	RestockUtcDateTime	CreatedUtcDateTime	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleId	ScheduleDate	LastUpdateReason	LastUpdatedByUserId	
=9950	=5	=6615	=10225	=35	=92	=1005	=20	=1319595	=2300385	=7330	=19303	=73900	=296185	=08/14/2013 12:54:00	=08/13/2013 12:04:30	=0	=0	=0	=0	=3	=600	=0	=0	=3640	=1000	=188445	=0	=0	=1092085	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 12:54:01	[NULL]	=False	=3873	=7215	=1508040	=True	[NULL]	[NULL]	[NULL]	=08/13/2013 09:04:30	=08/14/2013 09:54:00	=08/14/2013 09:54:01	[NULL]	[NULL]	[NULL]	[NULL]	=4639	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9951	=11	=505	=580	=6	=4	=125	=55	=1473650	=2225185	=13666	=17946	=189505	=241080	=08/14/2013 13:01:46	=07/31/2013 12:13:02	=0	=0	=0	=0	=0	=0	=0	=0	=75	=2811	=419240	=0	=0	=801585	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 13:01:46	[NULL]	=False	=3873	=505	=1892890	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/14/2013 10:01:46	=08/14/2013 10:01:46	[NULL]	[NULL]	[NULL]	[NULL]	=4639	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9952	=44	=5160	=7655	=28	=67	=550	=405	=4722600	=6459900	=28327	=53465	=390640	=722760	=08/14/2013 15:04:31	=08/12/2013 09:54:45	=0	=0	=0	=0	=11	=2350	=0	=0	=2495	=6614	=1205620	=0	=0	=1750270	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 15:04:31	[NULL]	=False	=3874	=7510	=5928220	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 06:54:45	=08/14/2013 12:04:31	=08/14/2013 12:04:31	[NULL]	[NULL]	[NULL]	[NULL]	=4640	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9953	=45	=3815	=4975	=21	=42	=525	=250	=8100380	=10823680	=51834	=83262	=869490	=1627990	=08/14/2013 15:18:17	=08/07/2013 08:51:18	=0	=0	=0	=0	=6	=1065	=0	=0	=1160	=7550	=1345920	=0	=0	=2721150	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 15:18:18	[NULL]	=False	=3874	=4880	=9446300	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/14/2013 12:18:17	=08/14/2013 12:18:18	[NULL]	[NULL]	[NULL]	[NULL]	=4640	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9954	=33	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/15/2013 08:50:00	=07/29/2013 12:00:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 08:57:15	=broman@tmcc.edu	=False	=3875	=4350	=3158615	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/15/2013 05:50:00	=08/15/2013 05:57:15	=4433	[NULL]	[NULL]	[NULL]	=4642	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9955	=32	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/15/2013 08:50:00	=07/31/2013 10:30:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 08:58:47	=broman@tmcc.edu	=False	=3875	=1875	=3987870	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/15/2013 05:50:00	=08/15/2013 05:58:47	=4433	[NULL]	[NULL]	[NULL]	=4642	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9956	=16	=3425	=3425	=21	=35	=450	=25	=5546495	=5546495	=45951	=46621	=912590	=725865	=08/15/2013 09:10:06	=08/08/2013 09:33:30	=0	=0	=0	=0	=0	=0	=0	=0	=575	=11000	=1331650	=0	=0	=748240	=0	[NULL]	[NULL]	=37	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 09:10:08	[NULL]	=False	=3876	=3425	=6878145	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 06:33:30	=08/15/2013 06:10:06	=08/15/2013 06:10:08	[NULL]	[NULL]	[NULL]	[NULL]	=4643	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9957	=6	=6280	=7905	=64	=58	=850	=1255	=2193755	=3059450	=22085	=764	=9125	=305525	=08/15/2013 10:30:12	=08/13/2013 12:46:14	=0	=0	=0	=0	=5	=510	=0	=0	=1625	=35	=3840	=0	=0	=1017585	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 10:30:14	[NULL]	=False	=3877	=6790	=2197595	=True	[NULL]	[NULL]	[NULL]	=08/13/2013 09:46:14	=08/15/2013 07:30:12	=08/15/2013 07:30:14	[NULL]	[NULL]	[NULL]	[NULL]	=4644	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9958	=7	=4600	=6050	=22	=52	=825	=25	=4232350	=4741120	=34779	=34183	=847770	=475050	=08/15/2013 10:32:57	=08/08/2013 11:27:42	=0	=0	=0	=0	=0	=0	=0	=0	=1450	=0	=0	=0	=0	=466665	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 10:32:57	[NULL]	=False	=3877	=4600	=4232350	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 08:27:42	=08/15/2013 07:32:57	=08/15/2013 07:32:57	[NULL]	[NULL]	[NULL]	[NULL]	=4644	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9959	=1	=5685	=7910	=53	=57	=1360	=850	=3836480	=5443460	=36643	=590	=8775	=778150	=08/15/2013 11:54:00	=08/14/2013 12:37:48	=0	=0	=0	=0	=2	=275	=0	=0	=2225	=31	=3705	=0	=0	=2081700	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 11:54:02	[NULL]	=False	=3877	=5960	=3840185	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 09:37:48	=08/15/2013 08:54:00	=08/15/2013 08:54:02	[NULL]	[NULL]	[NULL]	[NULL]	=4644	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9960	=5	=3750	=8025	=22	=74	=525	=100	=1323345	=2308410	=7352	=19377	=74000	=296710	=08/15/2013 11:58:52	=08/14/2013 12:54:00	=0	=0	=0	=0	=3	=700	=0	=0	=4275	=1003	=189145	=0	=0	=1096360	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/15/2013 11:58:54	[NULL]	=False	=3877	=4450	=1512490	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 09:54:00	=08/15/2013 08:58:52	=08/15/2013 08:58:54	[NULL]	[NULL]	[NULL]	[NULL]	=4644	=08/15/2013 00:00:00	[NULL]	[NULL]	
=9961	=1	=8135	=12330	=71	=101	=1130	=1100	=3844615	=5455790	=36714	=691	=9875	=779280	=08/16/2013 13:01:37	=08/15/2013 11:54:00	=0	=0	=0	=0	=4	=430	=0	=0	=6195	=35	=4135	=0	=0	=2087895	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 13:01:38	[NULL]	=False	=3878	=8565	=3848750	=True	[NULL]	[NULL]	[NULL]	=08/15/2013 08:54:00	=08/16/2013 10:01:37	=08/16/2013 10:01:38	[NULL]	[NULL]	[NULL]	[NULL]	=4646	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9962	=5	=4805	=7825	=27	=65	=1325	=0	=1328150	=2316235	=7379	=19442	=74000	=298035	=08/16/2013 13:15:24	=08/15/2013 11:58:52	=0	=0	=0	=0	=2	=300	=0	=0	=3020	=1005	=189445	=0	=0	=1099380	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 13:15:25	[NULL]	=False	=3878	=5105	=1517595	=True	[NULL]	[NULL]	[NULL]	=08/15/2013 08:58:52	=08/16/2013 10:15:24	=08/16/2013 10:15:25	[NULL]	[NULL]	[NULL]	[NULL]	=4646	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9963	=4	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/16/2013 13:10:00	=08/12/2013 14:10:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 13:54:54	=broman@tmcc.edu	=False	=3878	=1750	=1882970	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 11:10:00	=08/16/2013 10:10:00	=08/16/2013 10:54:54	=4433	[NULL]	[NULL]	[NULL]	=4646	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9964	=18	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/16/2013 14:20:00	=08/09/2013 09:30:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 14:26:44	=broman@tmcc.edu	=False	=3879	=6375	=727650	=True	[NULL]	[NULL]	[NULL]	=08/09/2013 06:30:00	=08/16/2013 11:20:00	=08/16/2013 11:26:44	=4433	[NULL]	[NULL]	[NULL]	=4647	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9965	=19	=6675	=10495	=63	=90	=845	=650	=3988370	=4473715	=38872	=137	=1765	=429340	=08/16/2013 14:15:57	=08/12/2013 10:14:02	=0	=0	=0	=0	=5	=535	=0	=0	=3820	=15	=1610	=0	=0	=1131305	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 14:27:18	=broman@tmcc.edu	=False	=3879	=7210	=3989980	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 07:14:02	=08/16/2013 11:15:57	=08/16/2013 11:27:18	=4433	[NULL]	[NULL]	[NULL]	=4647	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9966	=41	=8555	=12040	=48	=110	=760	=280	=3662890	=5103690	=21877	=43646	=167770	=571320	=08/16/2013 14:52:03	=08/14/2013 10:26:26	=0	=0	=0	=0	=1	=275	=0	=0	=3485	=2541	=460880	=0	=0	=1462190	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 14:52:04	[NULL]	=False	=3880	=8830	=4123770	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 07:26:26	=08/16/2013 11:52:03	=08/16/2013 11:52:04	[NULL]	[NULL]	[NULL]	[NULL]	=4648	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9967	=31	=5960	=7315	=57	=57	=560	=1055	=1196125	=1476735	=11110	=191	=3335	=157615	=08/16/2013 14:45:35	=08/14/2013 10:16:18	=0	=0	=0	=0	=1	=175	=0	=0	=1355	=9	=1130	=0	=0	=389340	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 15:01:39	=broman@tmcc.edu	=False	=3880	=6135	=1197255	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 07:16:18	=08/16/2013 11:45:35	=08/16/2013 12:01:39	=4433	[NULL]	[NULL]	[NULL]	=4648	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9968	=26	=4450	=6020	=46	=49	=510	=610	=3050780	=3708540	=28529	=171	=2475	=318655	=08/16/2013 15:21:31	=08/14/2013 09:33:54	=0	=0	=0	=0	=9	=965	=0	=0	=1570	=29	=3220	=0	=0	=1114385	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 15:21:32	[NULL]	=False	=3881	=5415	=3054000	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 06:33:54	=08/16/2013 12:21:31	=08/16/2013 12:21:32	[NULL]	[NULL]	[NULL]	[NULL]	=4649	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9969	=28	=3350	=5165	=16	=41	=950	=115	=12139815	=14350270	=95968	=110179	=1438520	=1893850	=08/16/2013 15:23:57	=08/14/2013 09:23:37	=0	=0	=0	=0	=9	=2200	=0	=0	=1815	=25900	=3861135	=0	=0	=2159295	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/16/2013 15:23:58	[NULL]	=False	=3881	=5550	=16000950	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 06:23:37	=08/16/2013 12:23:57	=08/16/2013 12:23:58	[NULL]	[NULL]	[NULL]	[NULL]	=4649	=08/16/2013 00:00:00	[NULL]	[NULL]	
=9970	=14	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/19/2013 08:50:00	=08/12/2013 09:20:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 08:56:40	=broman@tmcc.edu	=False	=3882	=3600	=215360	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 06:20:00	=08/19/2013 05:50:00	=08/19/2013 05:56:40	=4433	[NULL]	[NULL]	[NULL]	=4651	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9971	=44	=5440	=8790	=29	=76	=800	=390	=4728040	=6468690	=28356	=53541	=391030	=723560	=08/19/2013 12:42:12	=08/14/2013 15:04:31	=0	=0	=0	=0	=5	=925	=0	=0	=3350	=6619	=1206545	=0	=0	=1753620	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 12:42:14	[NULL]	=False	=3883	=6365	=5934585	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 12:04:31	=08/19/2013 09:42:12	=08/19/2013 09:42:14	[NULL]	[NULL]	[NULL]	[NULL]	=4652	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9972	=19	=2150	=2325	=20	=19	=110	=315	=3990520	=4476040	=38892	=156	=2080	=429450	=08/19/2013 12:47:32	=08/16/2013 14:15:57	=0	=0	=0	=0	=1	=125	=0	=0	=175	=16	=1735	=0	=0	=1131480	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 12:47:34	[NULL]	=False	=3883	=2275	=3992255	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 11:15:57	=08/19/2013 09:47:32	=08/19/2013 09:47:34	[NULL]	[NULL]	[NULL]	[NULL]	=4652	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9973	=21	=5125	=7830	=48	=62	=645	=985	=6389960	=8855695	=78912	=107	=1235	=191255	=08/19/2013 12:55:28	=08/12/2013 09:59:03	=0	=0	=0	=0	=8	=950	=0	=0	=2705	=15	=1650	=0	=0	=542580	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 12:55:30	[NULL]	=False	=3883	=6075	=6391610	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 06:59:03	=08/19/2013 09:55:28	=08/19/2013 09:55:30	[NULL]	[NULL]	[NULL]	[NULL]	=4652	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9974	=36	=3785	=4960	=41	=37	=340	=920	=1753615	=1975325	=17740	=113	=2430	=173005	=08/19/2013 13:21:54	=08/13/2013 11:03:40	=0	=0	=0	=0	=6	=545	=0	=0	=1175	=7	=645	=0	=0	=427750	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 13:21:55	[NULL]	=False	=3884	=4330	=1754260	=True	[NULL]	[NULL]	[NULL]	=08/13/2013 08:03:40	=08/19/2013 10:21:54	=08/19/2013 10:21:55	[NULL]	[NULL]	[NULL]	[NULL]	=4653	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9975	=52	=4250	=4250	=26	=36	=725	=575	=3105435	=3105700	=23959	=25062	=353025	=737970	=08/19/2013 13:24:37	=08/08/2013 09:12:16	=0	=0	=0	=0	=0	=0	=0	=0	=650	=0	=0	=0	=0	=487505	=0	[NULL]	[NULL]	=38	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 13:24:38	[NULL]	=False	=3884	=4250	=3105435	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 06:12:16	=08/19/2013 10:24:37	=08/19/2013 10:24:38	[NULL]	[NULL]	[NULL]	[NULL]	=4653	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9976	=34	=13600	=6880	=125	=0	=445	=0	=3027270	=3423735	=28979	=51	=835	=309840	=08/19/2013 14:06:33	=07/31/2013 10:12:04	=0	=0	=0	=0	=0	=0	=0	=0	=1920	=7	=855	=0	=0	=917135	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 14:06:35	[NULL]	=False	=3886	=6140	=3028125	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/19/2013 11:06:33	=08/19/2013 11:06:35	[NULL]	[NULL]	[NULL]	[NULL]	=4654	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9977	=1	=6585	=12475	=60	=115	=925	=50	=3851200	=5468265	=36774	=806	=9925	=780205	=08/19/2013 14:28:24	=08/16/2013 13:01:37	=0	=0	=0	=0	=1	=125	=0	=0	=5990	=36	=4260	=0	=0	=2093885	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 14:28:26	[NULL]	=False	=3885	=6710	=3855460	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 10:01:37	=08/19/2013 11:28:24	=08/19/2013 11:28:26	[NULL]	[NULL]	[NULL]	[NULL]	=4655	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9978	=5	=5950	=8710	=34	=72	=1510	=0	=1334100	=2324945	=7413	=19514	=74000	=299545	=08/19/2013 14:47:06	=08/16/2013 13:15:24	=0	=0	=0	=0	=7	=1390	=0	=0	=2785	=1012	=190835	=0	=0	=1102165	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 14:47:08	[NULL]	=False	=3885	=7340	=1524935	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 10:15:24	=08/19/2013 11:47:06	=08/19/2013 11:47:08	[NULL]	[NULL]	[NULL]	[NULL]	=4655	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9979	=9	=5425	=5425	=31	=46	=425	=935	=3185860	=3186860	=24521	=25482	=606845	=517320	=08/19/2013 15:03:13	=08/08/2013 11:36:05	=0	=0	=0	=0	=0	=0	=0	=0	=535	=0	=0	=0	=0	=507095	=0	[NULL]	[NULL]	=38	=0	=0	=0	[NULL]	=0	=0	=08/19/2013 15:03:14	[NULL]	=False	=3885	=5425	=3185860	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 08:36:05	=08/19/2013 12:03:13	=08/19/2013 12:03:14	[NULL]	[NULL]	[NULL]	[NULL]	=4655	=08/19/2013 00:00:00	[NULL]	[NULL]	
=9980	=43	=8660	=11640	=45	=93	=95	=2245	=3022530	=4164470	=18175	=34103	=325110	=429060	=08/20/2013 10:20:41	=08/14/2013 09:45:06	=0	=0	=0	=0	=11	=2170	=0	=0	=2980	=6352	=1145190	=0	=0	=1158445	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 10:20:42	[NULL]	=False	=3887	=10830	=4167720	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 06:45:06	=08/20/2013 07:20:41	=08/20/2013 07:20:42	[NULL]	[NULL]	[NULL]	[NULL]	=4657	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9981	=26	=1945	=2275	=19	=15	=260	=515	=3052725	=3710815	=28548	=186	=2990	=318915	=08/20/2013 10:28:58	=08/16/2013 15:21:31	=0	=0	=0	=0	=0	=0	=0	=0	=330	=29	=3220	=0	=0	=1114715	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 10:28:59	[NULL]	=False	=3887	=1945	=3055945	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 12:21:31	=08/20/2013 07:28:58	=08/20/2013 07:28:59	[NULL]	[NULL]	[NULL]	[NULL]	=4657	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9982	=29	=4875	=5900	=52	=47	=500	=700	=2482085	=2573405	=21741	=160	=930	=211180	=08/20/2013 10:39:40	=08/14/2013 09:48:10	=0	=0	=0	=0	=5	=555	=0	=0	=1025	=23	=3435	=0	=0	=684405	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 10:39:41	[NULL]	=False	=3887	=5430	=2485520	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 06:48:10	=08/20/2013 07:39:40	=08/20/2013 07:39:41	[NULL]	[NULL]	[NULL]	[NULL]	=4657	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9983	=28	=1550	=2400	=9	=15	=735	=165	=12141365	=14352670	=95977	=110194	=1438685	=1894585	=08/20/2013 10:41:37	=08/16/2013 15:23:57	=0	=0	=0	=0	=4	=875	=0	=0	=850	=25904	=3862010	=0	=0	=2160145	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 10:41:38	[NULL]	=False	=3887	=2425	=16003375	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 12:23:57	=08/20/2013 07:41:37	=08/20/2013 07:41:38	[NULL]	[NULL]	[NULL]	[NULL]	=4657	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9984	=25	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/20/2013 10:40:00	=08/01/2013 15:40:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 10:59:59	=broman@tmcc.edu	=False	=3887	=9025	=1153725	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/20/2013 07:40:00	=08/20/2013 07:59:59	=4433	[NULL]	[NULL]	[NULL]	=4657	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9985	=31	=5140	=7175	=49	=57	=560	=915	=1201265	=1483910	=11159	=248	=4250	=158175	=08/20/2013 11:21:57	=08/16/2013 14:45:35	=0	=0	=0	=0	=1	=100	=0	=0	=2035	=10	=1230	=0	=0	=391375	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 11:21:58	[NULL]	=False	=3888	=5240	=1202495	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 11:45:35	=08/20/2013 08:21:57	=08/20/2013 08:21:58	[NULL]	[NULL]	[NULL]	[NULL]	=4658	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9986	=16	=3900	=3900	=20	=34	=625	=275	=5550395	=5550395	=45971	=46655	=912865	=726490	=08/20/2013 11:24:16	=08/15/2013 09:10:06	=0	=0	=0	=0	=0	=0	=0	=0	=425	=11000	=1331650	=0	=0	=748665	=0	[NULL]	[NULL]	=37	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 11:24:18	[NULL]	=False	=3888	=3900	=6882045	=True	[NULL]	[NULL]	[NULL]	=08/15/2013 06:10:06	=08/20/2013 08:24:16	=08/20/2013 08:24:18	[NULL]	[NULL]	[NULL]	[NULL]	=4658	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9987	=17	=4515	=5405	=46	=38	=360	=1245	=6787225	=8438060	=89186	=47	=1690	=171430	=08/20/2013 12:03:54	=08/09/2013 09:29:20	=0	=0	=0	=0	=3	=425	=0	=0	=890	=7	=855	=0	=0	=548735	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 12:03:55	[NULL]	=False	=3889	=4940	=6788080	=True	[NULL]	[NULL]	[NULL]	=08/09/2013 06:29:20	=08/20/2013 09:03:54	=08/20/2013 09:03:55	[NULL]	[NULL]	[NULL]	[NULL]	=4659	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9988	=39	=2125	=2125	=13	=20	=350	=290	=4799810	=4799810	=37793	=42334	=639555	=881005	=08/20/2013 12:08:03	=08/07/2013 08:45:58	=0	=0	=0	=0	=0	=0	=0	=0	=515	=7571	=928400	=0	=0	=957220	=0	[NULL]	[NULL]	=33	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 12:08:03	[NULL]	=False	=3889	=2125	=5728210	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/20/2013 09:08:03	=08/20/2013 09:08:03	[NULL]	[NULL]	[NULL]	[NULL]	=4659	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9989	=45	=5135	=6300	=28	=44	=900	=1000	=8105515	=10829980	=51862	=83306	=870490	=1628890	=08/20/2013 12:35:25	=08/14/2013 15:18:17	=0	=0	=0	=0	=9	=1825	=0	=0	=1165	=7559	=1347745	=0	=0	=2722315	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 12:35:26	[NULL]	=False	=3889	=6960	=9453260	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 12:18:17	=08/20/2013 09:35:25	=08/20/2013 09:35:26	[NULL]	[NULL]	[NULL]	[NULL]	=4659	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9990	=55	=4525	=5325	=27	=43	=800	=225	=2606175	=3023875	=19192	=21101	=286000	=627775	=08/20/2013 12:39:16	=08/01/2013 10:56:50	=0	=0	=0	=0	=0	=0	=0	=0	=775	=0	=0	=0	=0	=403115	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 12:39:17	[NULL]	=False	=3889	=4525	=2606175	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/20/2013 09:39:16	=08/20/2013 09:39:17	[NULL]	[NULL]	[NULL]	[NULL]	=4659	=08/20/2013 00:00:00	[NULL]	[NULL]	
