Id	MachineId	CollectionDateTime	RestockUtcDateTime	LastCollectionDateTime	PreviousRestockUtcDateTime	IsRecentUtcCreatedDateTime	CreatedBy	Deleted	PrepickId	CollectedBillsCount	CollectedCoinsCount	RefundAmountInCents	BagNumber	AllSalesAmountInCents	LastRestockAllSalesAmountInCents	CashSalesQuantity	LastRestockCashSalesQuantity	CashSalesAmountInCents	LastRestockCashSalesAmountInCents	CardSalesQuantity	LastRestockCardSalesQuantity	CardSalesAmountInCents	LastRestockCardSalesAmountInCents	TokenSalesQuantity	LastRestockTokenSalesQuantity	TokenSalesAmountInCents	LastRestockTokenSalesAmountInCents	FreeSalesQuantity	LastRestockFreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesAmountInCents	CashInAmountInCents	LastRestockCashInAmountInCents	BillsInAmount	LastRestockBillsInAmount	CoinsToTubeAmountInCents	LastRestockCoinsToTubesAmountInCents	CoinsToBoxAmountInCents	LastRestockCoinsToBoxAmountInCents	CashDispensedAmountInCents	LastRestockCashDispensedAmountInCents	CoinRefillAmountInCents	CoinsInTubeAmountInCents	CollectedTokensCount	CollectedTokensValueInCents	LastRestockTestVendAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	
=11405	=44	=01/16/2014 10:30:32	=01/16/2014 18:30:32	=01/13/2014 11:48:27	=01/13/2014 19:48:27	=False	[NULL]	=False	=4349	=47	=500	=0	[NULL]	=6570430	=6090	=31075	=23	=5212745	=4615	=7416	=7	=1357685	=1475	=0	=0	=0	=0	=0	=0	=0	=0	=7126350	=5475	=59046	=47	=781030	=275	=440720	=500	=1929050	=860	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11406	=55	=01/16/2014 10:36:30	=01/16/2014 18:36:30	=12/09/2013 10:24:10	[NULL]	=False	[NULL]	=False	=4349	=48	=535	=0	[NULL]	=2697700	=5650	=19773	=34	=2697700	=5650	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3130050	=6585	=21870	=48	=642440	=1250	=300610	=535	=417260	=935	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11407	=36	=01/16/2014 11:35:04	=01/16/2014 19:35:04	=01/09/2014 09:45:41	=01/09/2014 17:45:41	=False	[NULL]	=False	=4350	=54	=895	=0	[NULL]	=2016950	=5880	=20311	=48	=2015490	=4795	=13	=9	=1460	=1085	=0	=0	=0	=0	=0	=0	=0	=0	=2251425	=6740	=114	=54	=194095	=445	=1865	=895	=483475	=1945	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11408	=6	=01/16/2014 13:16:27	=01/16/2014 21:16:27	=01/14/2014 11:31:34	=01/14/2014 19:31:34	=False	[NULL]	=False	=4351	=86	=1415	=0	[NULL]	=2642670	=8505	=26429	=78	=2638795	=8100	=35	=4	=3875	=405	=0	=0	=0	=0	=0	=0	=0	=0	=3635960	=10875	=631	=86	=355475	=860	=7565	=1415	=1190885	=2600	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11409	=5	=01/16/2014 13:49:20	=01/16/2014 21:49:20	=01/14/2014 13:24:26	=01/14/2014 21:24:26	=False	[NULL]	=False	=4351	=126	=0	=0	[NULL]	=2272400	=7675	=11111	=37	=2008255	=6900	=1393	=4	=264145	=775	=0	=0	=0	=0	=0	=0	=0	=0	=3635835	=14125	=30633	=126	=468095	=1525	=104440	=0	=1783555	=7225	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11410	=1	=01/16/2014 13:52:05	=01/16/2014 21:52:05	=01/15/2014 13:03:06	=01/15/2014 21:03:06	=False	[NULL]	=False	=4351	=80	=1425	=0	[NULL]	=4643750	=8135	=43874	=66	=4637145	=7705	=54	=4	=6605	=430	=0	=0	=0	=0	=0	=0	=0	=0	=6452755	=10310	=613	=80	=944605	=885	=14470	=1425	=2426345	=2605	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11411	=44	=01/21/2014 10:26:45	=01/21/2014 18:26:45	=01/16/2014 10:30:32	=01/16/2014 18:30:32	=False	[NULL]	=False	=4352	=47	=850	=0	[NULL]	=6574510	=4080	=31095	=20	=5216335	=3590	=7419	=3	=1358175	=490	=0	=0	=0	=0	=0	=0	=0	=0	=7132200	=5850	=59093	=47	=781330	=300	=441570	=850	=1931310	=2260	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11412	=19	=01/21/2014 10:30:10	=01/21/2014 18:30:10	=01/15/2014 10:27:12	=01/15/2014 18:27:12	=False	=broman@tmcc.edu	=False	=4352	=57	=360	=0	[NULL]	=4576135	=5800	=44177	=40	=4571115	=4500	=44	=11	=5020	=1300	=0	=0	=0	=0	=0	=0	=0	=0	=5092825	=6650	=224	=57	=476925	=590	=3285	=360	=1273160	=2150	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11413	=41	=01/21/2014 11:23:12	=01/21/2014 19:23:12	=01/14/2014 12:22:42	=01/14/2014 20:22:42	=False	[NULL]	=False	=4353	=67	=880	=0	[NULL]	=4484485	=6130	=23661	=28	=3984785	=5180	=2736	=5	=499700	=950	=0	=0	=0	=0	=0	=0	=0	=0	=5562085	=8225	=47510	=67	=611910	=645	=199175	=880	=1597105	=3045	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11414	=43	=01/21/2014 14:45:16	=01/21/2014 22:45:16	=01/15/2014 11:02:59	=01/15/2014 19:02:59	=False	[NULL]	=False	=4354	=39	=25	=0	[NULL]	=4856345	=6355	=20549	=18	=3474360	=3515	=7569	=14	=1381985	=2840	=0	=0	=0	=0	=0	=0	=0	=0	=4804995	=4495	=39661	=39	=487030	=570	=351865	=25	=1338150	=1080	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11415	=29	=01/21/2014 14:54:24	=01/21/2014 22:54:24	=01/15/2014 11:16:03	=01/15/2014 19:16:03	=False	[NULL]	=False	=4354	=62	=1360	=0	[NULL]	=3079430	=7695	=26942	=57	=3075580	=5895	=31	=11	=3850	=1800	=0	=0	=0	=0	=0	=0	=0	=0	=3152550	=8150	=223	=62	=255395	=590	=2595	=1360	=827305	=6155	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11416	=26	=01/21/2014 14:54:38	=01/21/2014 22:54:38	=01/15/2014 11:08:21	=01/15/2014 19:08:21	=False	[NULL]	=False	=4354	=63	=1350	=0	[NULL]	=3694230	=6970	=34316	=56	=3690860	=5920	=28	=8	=3370	=1050	=0	=0	=0	=0	=0	=0	=0	=0	=4426470	=8135	=136	=63	=368495	=485	=2970	=1350	=1317550	=2215	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11417	=49	=01/21/2014 15:47:29	=01/21/2014 23:47:29	=12/06/2013 14:34:01	[NULL]	=False	[NULL]	=False	=4354	=61	=1345	=0	[NULL]	=1239140	=7325	=8471	=47	=1239140	=7325	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1465610	=8350	=10624	=61	=276955	=905	=126255	=1345	=220580	=1025	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11418	=8	=01/21/2014 15:50:00	=01/21/2014 23:50:00	=12/24/2013 10:00:00	[NULL]	=False	=broman@tmcc.edu	=False	=4355	=0	=0	=0	[NULL]	=157400	=15050	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11419	=18	=01/22/2014 00:00:00	=01/22/2014 08:00:00	=01/15/2014 10:00:00	=01/15/2014 18:00:00	=False	=broman@tmcc.edu	=False	=4357	=0	=0	=0	[NULL]	=964025	=5375	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11420	=6	=01/22/2014 12:32:20	=01/22/2014 20:32:20	=01/16/2014 13:16:27	=01/16/2014 21:16:27	=False	[NULL]	=False	=4356	=115	=1750	=0	[NULL]	=2651500	=8830	=26512	=83	=2647045	=8250	=41	=6	=4455	=580	=0	=0	=0	=0	=0	=0	=0	=0	=3649785	=13825	=746	=115	=356050	=575	=9315	=1750	=1196760	=5875	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11421	=1	=01/22/2014 13:28:52	=01/22/2014 21:28:52	=01/16/2014 13:52:05	=01/16/2014 21:52:05	=False	[NULL]	=False	=4356	=180	=3215	=0	[NULL]	=4665025	=21275	=44045	=171	=4655925	=18780	=75	=21	=9100	=2495	=0	=0	=0	=0	=0	=0	=0	=0	=6478495	=25740	=793	=180	=949130	=4525	=17685	=3215	=2433305	=6960	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11422	=5	=01/22/2014 13:45:30	=01/22/2014 21:45:30	=01/16/2014 13:49:20	=01/16/2014 21:49:20	=False	[NULL]	=False	=4356	=270	=290	=0	[NULL]	=2290335	=17935	=11198	=87	=2025115	=16860	=1399	=6	=265220	=1075	=0	=0	=0	=0	=0	=0	=0	=0	=3666535	=30700	=30903	=270	=471505	=3410	=104730	=290	=1797395	=13840	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11423	=23	=01/22/2014 13:00:00	=01/22/2014 21:00:00	=08/21/2013 13:30:00	[NULL]	=False	=broman@tmcc.edu	=False	=4356	=0	=0	=0	[NULL]	=263235	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11424	=4	=01/22/2014 14:00:00	=01/22/2014 22:00:00	=11/21/2013 12:00:00	[NULL]	=False	=broman@tmcc.edu	=False	=4356	=0	=0	=0	[NULL]	=1941070	=4300	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11425	=11	=01/22/2014 01:16:52	=01/22/2014 09:16:52	=01/15/2014 12:23:57	=01/15/2014 20:23:57	=False	=broman@tmcc.edu	=False	=4356	=1	=505	=0	[NULL]	=2079835	=635	=14969	=7	=1616835	=635	=3144	=0	=463000	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2436610	=635	=19623	=1	=258245	=30	=216065	=505	=873445	=0	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11426	=46	=01/22/2014 15:12:32	=01/22/2014 23:12:32	=12/04/2013 14:51:58	[NULL]	=False	[NULL]	=False	=4358	=78	=650	=0	[NULL]	=2946100	=8375	=25817	=67	=2946100	=8375	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3433055	=10830	=24436	=78	=653355	=2380	=336100	=650	=465750	=2365	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11427	=25	=01/22/2014 15:00:00	=01/22/2014 23:00:00	=01/15/2014 11:10:00	=01/15/2014 19:10:00	=False	=broman@tmcc.edu	=False	=4358	=0	=0	=0	[NULL]	=1402850	=3050	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11428	=45	=01/23/2014 12:54:39	=01/23/2014 20:54:39	=01/14/2014 10:55:13	=01/14/2014 18:55:13	=False	[NULL]	=False	=4359	=47	=1260	=0	[NULL]	=9744610	=6390	=53015	=25	=8307465	=4565	=8006	=9	=1437145	=1825	=0	=0	=0	=0	=0	=0	=0	=0	=11092930	=6370	=85479	=47	=1652170	=410	=892860	=1260	=2781780	=1805	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11429	=44	=01/23/2014 13:20:09	=01/23/2014 21:20:09	=01/21/2014 10:26:45	=01/21/2014 18:26:45	=False	[NULL]	=False	=4359	=41	=55	=0	[NULL]	=6579765	=5255	=31112	=17	=5219460	=3125	=7430	=11	=1360305	=2130	=0	=0	=0	=0	=0	=0	=0	=0	=7136795	=4595	=59134	=41	=781770	=440	=441625	=55	=1932780	=1470	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11430	=19	=01/23/2014 13:27:33	=01/23/2014 21:27:33	=01/21/2014 10:30:10	=01/21/2014 18:30:10	=False	[NULL]	=False	=4359	=35	=770	=0	[NULL]	=4581430	=5295	=44212	=35	=4574725	=3610	=58	=14	=6705	=1685	=0	=0	=0	=0	=0	=0	=0	=0	=5097515	=4690	=259	=35	=477345	=420	=4055	=770	=1274240	=1080	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11431	=1	=01/23/2014 13:53:59	=01/23/2014 21:53:59	=01/22/2014 13:28:52	=01/22/2014 21:28:52	=False	[NULL]	=False	=4361	=0	=0	=0	[NULL]	=4673715	=8690	=44199	=154	=4673540	=17615	=2	=0	=175	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6489490	=10995	=69	=0	=950635	=1505	=1865	=0	=2439685	=6380	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11432	=34	=01/23/2014 14:35:18	=01/23/2014 22:35:18	=12/13/2013 10:02:15	[NULL]	=False	[NULL]	=False	=4360	=0	=0	=0	[NULL]	=3492500	=7970	=33280	=290	=3491515	=31925	=9	=0	=985	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3934755	=10250	=73	=0	=347280	=310	=525	=0	=1044225	=3490	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11433	=15	=01/23/2014 16:31:34	=01/24/2014 00:31:34	=01/09/2014 10:08:47	=01/09/2014 18:08:47	=False	[NULL]	=False	=4362	=21	=25	=0	[NULL]	=85800	=4625	=345	=11	=55000	=1725	=186	=15	=30800	=2900	=0	=0	=0	=0	=2	=0	=200	=0	=79050	=2425	=662	=21	=10005	=300	=2845	=25	=24590	=700	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11434	=21	=01/24/2014 11:58:47	=01/24/2014 19:58:47	=01/14/2014 11:06:37	=01/14/2014 19:06:37	=False	[NULL]	=False	=4363	=52	=800	=0	[NULL]	=6627750	=5445	=81109	=48	=6627750	=5445	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9101540	=6610	=110	=52	=208930	=610	=1850	=800	=594930	=1165	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11435	=17	=01/24/2014 12:11:47	=01/24/2014 20:11:47	=01/13/2014 11:41:43	=01/13/2014 19:41:43	=False	[NULL]	=False	=4363	=65	=775	=0	[NULL]	=6958905	=6695	=90857	=62	=6958175	=6395	=7	=3	=730	=300	=0	=0	=0	=0	=0	=0	=0	=0	=8642095	=8070	=102	=65	=190370	=795	=1680	=775	=598715	=1675	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11436	=18	=01/24/2014 11:50:00	=01/24/2014 19:50:00	=01/22/2014 00:00:00	=01/22/2014 08:00:00	=False	=broman@tmcc.edu	=False	=4363	=0	=0	=0	[NULL]	=966225	=2200	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11437	=26	=01/24/2014 13:10:19	=01/24/2014 21:10:19	=01/21/2014 14:54:38	=01/21/2014 22:54:38	=False	[NULL]	=False	=4364	=71	=1040	=0	[NULL]	=3701430	=7200	=34371	=55	=3697140	=6280	=36	=8	=4290	=920	=0	=0	=0	=0	=0	=0	=0	=0	=4435120	=8650	=207	=71	=369005	=510	=4010	=1040	=1319920	=2370	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11438	=43	=01/24/2014 13:10:49	=01/24/2014 21:10:49	=01/21/2014 14:45:16	=01/21/2014 22:45:16	=False	[NULL]	=False	=4364	=78	=80	=0	[NULL]	=4865015	=8670	=20577	=28	=3479880	=5520	=7586	=17	=1385135	=3150	=0	=0	=0	=0	=0	=0	=0	=0	=4813170	=8175	=39739	=78	=487325	=295	=351945	=80	=1340805	=2655	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11439	=44	=01/27/2014 10:38:34	=01/27/2014 18:38:34	=01/23/2014 13:20:09	=01/23/2014 21:20:09	=False	[NULL]	=False	=4365	=46	=0	=0	[NULL]	=6584310	=4545	=31132	=20	=5223075	=3615	=7434	=4	=1361235	=930	=0	=0	=0	=0	=0	=0	=0	=0	=7141820	=5025	=59180	=46	=782195	=425	=441625	=0	=1934190	=1410	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11440	=52	=01/27/2014 10:44:42	=01/27/2014 18:44:42	=01/09/2014 09:49:49	=01/09/2014 17:49:49	=False	[NULL]	=False	=4366	=59	=0	=0	[NULL]	=3228015	=5965	=24742	=36	=3228015	=5965	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3228305	=5965	=26161	=59	=758170	=1050	=365705	=0	=507680	=985	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11441	=36	=01/27/2014 10:52:42	=01/27/2014 18:52:42	=01/16/2014 11:35:04	=01/16/2014 19:35:04	=False	[NULL]	=False	=4366	=53	=480	=0	[NULL]	=2022915	=5965	=20355	=44	=2020075	=4585	=26	=13	=2840	=1380	=0	=0	=0	=0	=0	=0	=0	=0	=2257560	=6135	=167	=53	=194450	=355	=2345	=480	=485025	=1550	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11442	=50	=01/27/2014 12:04:11	=01/27/2014 20:04:11	=01/08/2014 09:01:12	=01/08/2014 17:01:12	=False	[NULL]	=False	=4367	=66	=100	=0	[NULL]	=3637135	=4945	=27318	=28	=3637135	=4945	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4444350	=7675	=33797	=66	=605130	=975	=459520	=100	=769645	=2715	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11443	=32	=01/27/2014 12:00:00	=01/27/2014 20:00:00	=12/09/2013 11:30:00	[NULL]	=False	=broman@tmcc.edu	=False	=4367	=0	=0	=0	[NULL]	=4077570	=4275	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11444	=41	=01/27/2014 12:48:23	=01/27/2014 20:48:23	=01/21/2014 11:23:12	=01/21/2014 19:23:12	=False	[NULL]	=False	=4368	=123	=1370	=0	[NULL]	=4496565	=12080	=23721	=60	=3995125	=10340	=2745	=9	=501440	=1740	=0	=0	=0	=0	=0	=0	=0	=0	=5576715	=14630	=47633	=123	=612870	=960	=200545	=1370	=1601395	=4290	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11445	=31	=01/27/2014 12:53:10	=01/27/2014 20:53:10	=01/15/2014 12:00:26	=01/15/2014 20:00:26	=False	[NULL]	=False	=4368	=82	=1955	=0	[NULL]	=1499420	=9705	=13955	=78	=1497605	=8460	=15	=11	=1815	=1245	=0	=0	=0	=0	=0	=0	=0	=0	=1833870	=11185	=196	=82	=183425	=1030	=4640	=1955	=471165	=2725	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11446	=1	=01/27/2014 14:52:50	=01/27/2014 22:52:50	=01/23/2014 13:53:59	=01/23/2014 21:53:59	=False	[NULL]	=False	=4370	=172	=2130	=0	[NULL]	=4690665	=16950	=44339	=140	=4689300	=15760	=11	=9	=1365	=1190	=0	=0	=0	=0	=0	=0	=0	=0	=6513100	=23610	=241	=172	=954915	=4280	=3995	=2130	=2448035	=8350	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11447	=6	=01/27/2014 15:20:06	=01/27/2014 23:20:06	=01/22/2014 12:32:20	=01/22/2014 20:32:20	=False	[NULL]	=False	=4370	=0	=0	=0	[NULL]	=2660720	=9220	=26642	=130	=2660420	=13375	=3	=0	=300	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3660765	=10980	=62	=0	=357125	=1075	=2400	=0	=1199020	=2260	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11448	=9	=01/27/2014 15:22:08	=01/27/2014 23:22:08	=01/14/2014 11:36:15	=01/14/2014 19:36:15	=False	[NULL]	=False	=4370	=62	=950	=0	[NULL]	=3329140	=7280	=25331	=41	=3329140	=7280	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3330295	=7280	=26560	=62	=534190	=1025	=642570	=950	=523955	=895	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11449	=5	=01/27/2014 15:31:18	=01/27/2014 23:31:18	=01/22/2014 13:45:30	=01/22/2014 21:45:30	=False	[NULL]	=False	=4370	=346	=400	=0	[NULL]	=2316625	=26290	=11323	=125	=2048680	=23565	=1413	=14	=267945	=2725	=0	=0	=0	=0	=0	=0	=0	=0	=3707760	=41225	=31249	=346	=477730	=6225	=105130	=400	=1815380	=17985	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11450	=29	=01/27/2014 16:09:39	=01/28/2014 00:09:39	=01/21/2014 14:54:24	=01/21/2014 22:54:24	=False	[NULL]	=False	=4371	=89	=880	=0	[NULL]	=3088125	=8695	=27010	=68	=3082755	=7175	=46	=15	=5370	=1520	=0	=0	=0	=0	=0	=0	=0	=0	=3163115	=10565	=312	=89	=256180	=785	=3475	=880	=830695	=3390	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11451	=1	=01/28/2014 03:24:44	=01/28/2014 11:24:44	=01/27/2014 14:52:50	=01/27/2014 22:52:50	=False	=sema.tereshonok@cantaloupesys.com	=False	=4372	=21	=325	=2313	=1254435	=4693305	=2640	=44366	=27	=4691940	=2640	=11	=0	=1365	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6516175	=3075	=262	=21	=955565	=650	=4320	=325	=2448470	=435	=1289	[NULL]	=0	=0	[NULL]	=False	[NULL]	=9	=10	=3369	=5676	[NULL]	[NULL]	
=11452	=4	=01/28/2014 04:00:00	=01/28/2014 12:00:00	=01/22/2014 14:00:00	=01/22/2014 22:00:00	=False	=sema.tereshonok@cantaloupesys.com	=False	=4372	=0	=0	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=False	=2	[NULL]	[NULL]	=3369	=5676	[NULL]	[NULL]	
=11453	=24	=01/28/2014 01:00:00	=01/28/2014 09:00:00	=09/27/2013 10:30:00	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	=4372	=0	=0	=10	=4117	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=2500	[NULL]	=0	=0	[NULL]	=False	[NULL]	=15	=16	=3369	=5676	[NULL]	[NULL]	
=11454	=1000004	=11/16/2015 14:16:28	=11/16/2015 22:16:28	[NULL]	[NULL]	=False	=alexey.matvienko@cantaloupesys.com	=False	[NULL]	=0	=0	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	=0	[NULL]	=False	[NULL]	[NULL]	[NULL]	=2972	[NULL]	=0	=0	
=11455	=2	=01/28/2014 07:41:25	=01/28/2014 15:41:25	=01/09/2014 11:00:00	=01/09/2014 19:00:00	=True	=unknown@cantaloupesys.com	=False	=4372	=0	=0	=2461	=4275134	=7812484	=7269634	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1000000000	[NULL]	=0	=0	[NULL]	=False	=1	=11	=12	=5676	=5676	=0	=0	
